epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,186.895,1.35583,0.82416,0.01107,0.90492,0.72279,0.83808,0.40207,2.27951,0.91083,0.03124,0.000215774,0.000215774,0.000215774
43,191.313,1.35218,0.90392,0.01137,0.83623,0.78125,0.83433,0.40418,2.30611,0.94889,0.03183,0.000204769,0.000204769,0.000204769
44,194.983,1.29612,0.78792,0.01104,0.90276,0.74863,0.83858,0.41092,2.34037,0.94046,0.03293,0.000193763,0.000193763,0.000193763
45,198.635,1.33181,0.81784,0.01133,0.85843,0.77517,0.84119,0.40768,2.36843,0.94568,0.03346,0.000182758,0.000182758,0.000182758
46,202.245,1.25211,0.72834,0.0103,0.86112,0.77928,0.83794,0.40166,2.35732,0.92823,0.03273,0.000171752,0.000171752,0.000171752
47,205.751,1.25972,0.7615,0.01047,0.82768,0.80374,0.84705,0.4057,2.31376,0.91822,0.03144,0.000160747,0.000160747,0.000160747
48,209.338,1.28248,0.78987,0.01097,0.84327,0.80539,0.83919,0.40131,2.28703,0.92901,0.03115,0.000149741,0.000149741,0.000149741
49,212.974,1.20563,0.74852,0.01018,0.83608,0.80364,0.84029,0.40353,2.30104,0.90379,0.03144,0.000138736,0.000138736,0.000138736
50,216.565,1.23985,0.7936,0.00991,0.8289,0.80937,0.83628,0.39442,2.30351,0.88598,0.03142,0.000127731,0.000127731,0.000127731
51,224.435,1.20763,0.58781,0.01195,0.83125,0.79483,0.82769,0.38911,2.29089,0.88051,0.03104,0.000116725,0.000116725,0.000116725
52,228.086,1.17755,0.56798,0.01175,0.74138,0.84577,0.82292,0.37977,2.3111,0.88417,0.0313,0.00010572,0.00010572,0.00010572
53,231.706,1.17349,0.58412,0.01188,0.80898,0.79952,0.82948,0.39244,2.31877,0.87602,0.03137,9.4714e-05,9.4714e-05,9.4714e-05
54,235.208,1.09955,0.55111,0.01123,0.84024,0.82283,0.84112,0.39464,2.31365,0.86926,0.03151,8.37085e-05,8.37085e-05,8.37085e-05
55,238.805,1.12518,0.57988,0.01139,0.82872,0.81299,0.83195,0.37904,2.29827,0.87522,0.03125,7.2703e-05,7.2703e-05,7.2703e-05
56,242.402,1.11738,0.51147,0.01154,0.85258,0.78925,0.84062,0.38026,2.28177,0.87069,0.03101,6.16975e-05,6.16975e-05,6.16975e-05
57,245.95,1.10603,0.53656,0.01127,0.85689,0.78932,0.84492,0.38914,2.2584,0.87983,0.03073,5.0692e-05,5.0692e-05,5.0692e-05
58,249.437,1.08025,0.50998,0.01106,0.85112,0.80849,0.85045,0.3945,2.26921,0.87889,0.03066,3.96865e-05,3.96865e-05,3.96865e-05
59,252.923,1.05735,0.53837,0.0109,0.8364,0.80698,0.84512,0.39244,2.26534,0.8807,0.03058,2.8681e-05,2.8681e-05,2.8681e-05
60,256.413,1.0619,0.52067,0.01068,0.80283,0.80879,0.84223,0.39345,2.28018,0.87525,0.03056,1.76755e-05,1.76755e-05,1.76755e-05
